"subject" "activity" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyAccMag-std()" "tGravityAccMag-std()" "tBodyAccJerkMag-std()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-meanFreq()-Y" "fBodyAcc-meanFreq()-Z" "fBodyAcc-skewness()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-meanFreq()-Y" "fBodyAccJerk-meanFreq()-Z" "fBodyAccJerk-skewness()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-meanFreq()-Y" "fBodyGyro-meanFreq()-Z" "fBodyGyro-skewness()-X" "fBodyAccMag-std()" "fBodyAccMag-skewness()" "fBodyBodyAccJerkMag-std()" "fBodyBodyAccJerkMag-skewness()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroMag-skewness()" "fBodyBodyGyroJerkMag-std()" "fBodyBodyGyroJerkMag-skewness()" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tBodyAcc-mad()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tGravityAcc-mad()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyAccJerk-mad()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyro-mad()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyGyroJerk-mad()-X" "tBodyAccMag-mad()" "tGravityAccMag-mad()" "tBodyAccJerkMag-mad()" "tBodyGyroMag-mad()" "tBodyGyroJerkMag-mad()" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAcc-mad()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyAccJerk-mad()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyGyro-mad()-X" "fBodyAccMag-mad()" "fBodyBodyAccJerkMag-mad()" "fBodyBodyGyroMag-mad()" "fBodyBodyGyroJerkMag-mad()"
"1.LAYING" "1" "LAYING" "-0.11320355358" "-0.9280564692" "0.70554977346" "0.4458177198" "-0.8968300184" "0.0038382040088" "0.010834236361" "-0.958482112" "-0.064486124088" "0.14868943626" "-0.87354386782" "-0.04151728689" "-0.0740501211" "-0.9186085208" "-0.79514486386" "-0.79514486386" "-0.9282456284" "-0.81901016976" "-0.9358409828" "-0.86706520518" "-0.8826668762" "-0.9244374346" "0.097534841586" "0.08943765522" "-0.06580089814" "-0.9224626098" "-0.9480609042" "-0.9641607086" "0.024513618956" "0.02438794528" "-0.5066257548" "-0.9521914948" "-0.909302721" "-0.8822964508" "-0.091529130882" "0.01045812566" "-0.1780860953" "-0.7983009404" "-0.2662462532" "-0.9218039756" "-0.389207745822" "-0.82431943968" "-0.0843388238" "-0.9326606676" "-0.42322547018" "-0.83682740562" "-0.826061401628" "-0.9321111728" "-0.90772000676" "-0.85236629022" "-0.899296135" "-0.9241492736" "-0.9548551108" "-0.963631469" "-0.9510904402" "-0.9082846626" "-0.9002609456" "-0.9679072436" "-0.9577901596" "-0.9442481804" "-0.81016936098" "-0.81016936098" "-0.935812144" "-0.83451699672" "-0.9481355368" "-0.8336255561" "-0.81289155944" "-0.9357414446" "-0.9322178704" "-0.9605869872" "-0.9532392948" "-0.9512320494" "-0.9165825082" "-0.85334024058" "-0.82709156406" "-0.9280787516" "-0.82355384772" "-0.9298067252"
"2.LAYING" "2" "LAYING" "-0.107245610416667" "-0.974059464791667" "0.752536639375" "0.646834879583333" "-0.959014441458333" "0.012254788451875" "-0.00180264895625" "-0.98587216875" "-0.111800824583333" "0.144882846104167" "-0.988275232916667" "-0.0358590176083333" "-0.0701783020833333" "-0.993235849166667" "-0.972873912916667" "-0.972873912916667" "-0.98551807625" "-0.961164053958333" "-0.989718095208333" "-0.979800877916667" "-0.984380981875" "-0.973246482083333" "0.2572894655" "0.402532553395833" "-0.0184570655208333" "-0.982768250416667" "-0.986197134583333" "-0.987250255833333" "0.1212064240125" "0.190558218145833" "-0.501103660833333" "-0.983321635416667" "-0.9626718875" "-0.988860685833333" "0.04228066839375" "0.0552985986479167" "-0.215226526584375" "-0.975121387916667" "-0.381994355769375" "-0.984568489166667" "-0.553611930854167" "-0.96109837875" "-0.14091960795" "-0.989492660416667" "-0.444286026804167" "-0.98027739875" "-0.984233296875" "-0.976606966458333" "-0.988211865208333" "-0.984230418125" "-0.962074936458333" "-0.98317254125" "-0.988442014375" "-0.98729154125" "-0.982291608958333" "-0.960306560416667" "-0.988574029583333" "-0.989567537916667" "-0.98803582125" "-0.993824839583333" "-0.977229495416667" "-0.977229495416667" "-0.987347631041667" "-0.956437945208333" "-0.991351451666667" "-0.981025105625" "-0.984792185" "-0.9771644075" "-0.984987392916667" "-0.989345368541667" "-0.983314896458333" "-0.981910616458333" "-0.963174222291667" "-0.987988235416667" "-0.974703681458333" "-0.983004468958333" "-0.966822267291667" "-0.989112383333333"
"3.LAYING" "3" "LAYING" "-0.101300477506452" "-0.982776639193548" "0.837032099677419" "0.48870318516129" "-0.982512193064516" "0.0138041011306452" "-0.00435625874355645" "-0.98087931483871" "-0.0718507159435484" "0.137999561112903" "-0.974545752096774" "-0.0389771765322581" "-0.06873387" "-0.980328645" "-0.964218176451613" "-0.964218176451613" "-0.976121297903226" "-0.954275110967742" "-0.983139255645161" "-0.961169982903226" "-0.968332141612903" "-0.983691129032258" "0.238470751435484" "0.216971671672581" "-0.338077903758065" "-0.968752113709677" "-0.979122344354839" "-0.983122615967742" "-0.0131774961758065" "0.0448196905903226" "-0.479786863548387" "-0.978099682258065" "-0.962341960806452" "-0.975986433709677" "-0.0266820108903226" "0.147686455548065" "-0.322853012872581" "-0.968350217419355" "-0.449730952548387" "-0.975305377903226" "-0.448886207354839" "-0.955441855806452" "-0.245513311658065" "-0.982568158064516" "-0.309436831995161" "-0.962057544516129" "-0.96369103483871" "-0.985280124193548" "-0.981202749677419" "-0.964807543870968" "-0.983290148387097" "-0.968710724677419" "-0.982093162903226" "-0.981888223870968" "-0.977272653709677" "-0.963505609032258" "-0.977285024032258" "-0.986762741935484" "-0.983338279516129" "-0.982116066290323" "-0.969268846129032" "-0.969268846129032" "-0.978823226774194" "-0.950223007419355" "-0.98485261016129" "-0.964094604193548" "-0.96327908016129" "-0.981461533870968" "-0.971044012741936" "-0.983711904677419" "-0.978107287258065" "-0.977032495483871" "-0.967256854193548" "-0.96997823" "-0.964753405806452" "-0.972624411129032" "-0.957370892258064" "-0.982288811774194"
"4.LAYING" "4" "LAYING" "-0.110688150314815" "-0.954193738888889" "0.915165104259259" "0.341531310555556" "-0.921199965925926" "0.00693313213968519" "-0.00641054328740741" "-0.978302781111111" "-0.0930128180759259" "0.169720404092593" "-0.973102422222222" "-0.0381230432222222" "-0.0712156288333333" "-0.975103204259259" "-0.931292216611111" "-0.931292216611111" "-0.960786430740741" "-0.947031781666667" "-0.982698213703704" "-0.938883374444444" "-0.967504278888889" "-0.952464881481481" "0.366231448994444" "0.201329591976111" "0.220151881037037" "-0.943969987222222" "-0.975383329444444" "-0.980079292592593" "0.0987428836296296" "0.0770211165" "-0.432406665037037" "-0.972187839074074" "-0.961479262592593" "-0.975094739444444" "-0.526889995562963" "0.152886311603704" "0.000245708185185182" "-0.937187975962963" "-0.306561277690741" "-0.958037119259259" "-0.384445237425926" "-0.947100325185185" "0.00233095709259259" "-0.982543631666667" "-0.340797913914815" "-0.941714042407407" "-0.962667314814815" "-0.957949598333333" "-0.969816635740741" "-0.976176608888889" "-0.925286638518519" "-0.942209488333333" "-0.978511984259259" "-0.979712549259259" "-0.961109291851852" "-0.962073755" "-0.973955353148148" "-0.986855629814815" "-0.983965359814815" "-0.977078201111111" "-0.938656310740741" "-0.938656310740741" "-0.964289142962963" "-0.939716569444444" "-0.983802027222222" "-0.946380971111111" "-0.962154454259259" "-0.958852738333333" "-0.944366881666667" "-0.980261236296296" "-0.975457210185185" "-0.956182500185185" "-0.965807466666667" "-0.971169256851852" "-0.938952220555556" "-0.959338719444444" "-0.953050380740741" "-0.983198737222222"
"5.LAYING" "5" "LAYING" "-0.107937603673077" "-0.965934509615385" "0.954890346153846" "0.263644691923077" "-0.945695336153846" "0.00747460829615385" "-0.00304067159653846" "-0.983307862115385" "-0.0798709596153846" "0.159894366942308" "-0.979498706538461" "-0.0404446925288462" "-0.07083096875" "-0.983422257692308" "-0.958612786346154" "-0.958612786346154" "-0.977477145384615" "-0.958287921923077" "-0.98377138" "-0.965419520961538" "-0.977007724615385" "-0.964953893653846" "0.466528231788462" "0.132310871284615" "-0.106272004866346" "-0.965328566153846" "-0.983250309423077" "-0.985625270384615" "0.195677336307692" "0.0916938788480769" "-0.518282385576923" "-0.978249645769231" "-0.963202948461538" "-0.980705769807692" "0.06812484775" "0.0413600281009615" "-0.128343791784615" "-0.962525369423077" "-0.413551042153846" "-0.976381934807692" "-0.391210553192308" "-0.959263063269231" "-0.102755293230769" "-0.983434493076923" "-0.267949189673077" "-0.969295613269231" "-0.968562516346154" "-0.969061900384615" "-0.985964053846154" "-0.977076645" "-0.950040603076923" "-0.964560430961538" "-0.985419368461538" "-0.984312878076923" "-0.977427370576923" "-0.960583776923077" "-0.980498679038462" "-0.983759479230769" "-0.989679592307692" "-0.984063684423077" "-0.964077316153846" "-0.964077316153846" "-0.979572411153846" "-0.952875664807692" "-0.985668046730769" "-0.972909186730769" "-0.965882191153846" "-0.968811490192308" "-0.96624258" "-0.986135599038461" "-0.981433360769231" "-0.977257800961538" "-0.963305738076923" "-0.978494016730769" "-0.962334112692308" "-0.974132355576923" "-0.965399365384615" "-0.982914466538462"
"6.LAYING" "6" "LAYING" "-0.133119570368421" "-0.934049422052632" "0.956593814210526" "0.175867709021053" "-0.887746310350877" "-0.00114529240245614" "0.00328817288070175" "-0.966341054736842" "-0.107218315054386" "0.179102058245614" "-0.955378225087719" "-0.0424104289992982" "-0.0717774743859649" "-0.939611608245614" "-0.897326245964912" "-0.897326245964912" "-0.950341934385965" "-0.920914497017544" "-0.953157001578947" "-0.923706791403509" "-0.938044912280702" "-0.932462941461404" "0.348418746140351" "0.161457927833333" "-0.115944821085965" "-0.936043420175439" "-0.954425844736842" "-0.968619159473684" "-0.0222029460298246" "0.0784684032122807" "-0.374752872596491" "-0.941771544385965" "-0.932636612807018" "-0.962164978596491" "0.0236567802333333" "0.0445225537614035" "-0.430375917350877" "-0.905373979824561" "-0.213405189245614" "-0.951552664035088" "-0.365542869087719" "-0.928694890175439" "-0.381677010526316" "-0.955504654561404" "-0.308710247192982" "-0.924644826385965" "-0.925216100350877" "-0.938200964421053" "-0.959161956491228" "-0.928130738421053" "-0.889213758245614" "-0.933674494385965" "-0.959646055263158" "-0.967166701754386" "-0.943634949473684" "-0.939141878596491" "-0.958462365438597" "-0.958628819649123" "-0.959579071578947" "-0.942470715964912" "-0.906654035473684" "-0.906654035473684" "-0.952963866315789" "-0.915118535438596" "-0.957232578070175" "-0.929711219929825" "-0.924004748421053" "-0.937564390877193" "-0.935717452807018" "-0.963567540877193" "-0.96063123877193" "-0.945365097894737" "-0.947136774385965" "-0.947524418070175" "-0.907344106868421" "-0.946487944035088" "-0.926298457894737" "-0.951160637894737"
"7.LAYING" "7" "LAYING" "-0.101361036576923" "-0.93651361" "0.393444278076923" "0.907537823461538" "-0.914221270096154" "0.0250624183634615" "-0.0131653918205769" "-0.980977756153846" "-0.133605695057692" "0.155920029769231" "-0.9601268225" "-0.0358897425826923" "-0.0671901794615385" "-0.9738372325" "-0.907039513153846" "-0.907039513153846" "-0.967310932307692" "-0.918662459038462" "-0.971205137884615" "-0.942193953846154" "-0.958611644615385" "-0.931120580576923" "-0.0438292665807692" "0.237111987323077" "0.650312023134615" "-0.972531648846154" "-0.969524977692308" "-0.983560175384615" "-0.0451342616019231" "0.0945605852" "-0.481396755961538" "-0.957570207692308" "-0.956905310961538" "-0.962348254423077" "-0.453725644769231" "0.0144682871075" "0.0336602732911538" "-0.910542462919231" "0.0541988452576923" "-0.965359228076923" "-0.4419143118425" "-0.918892518653846" "0.0578941755192308" "-0.969403035384615" "-0.197347991034615" "-0.926262668653846" "-0.952978365961539" "-0.938656584230769" "-0.955543549230769" "-0.961908984423077" "-0.915924683923077" "-0.973093160192308" "-0.972983064230769" "-0.983230278076923" "-0.945071935384615" "-0.955294890576923" "-0.966844451153846" "-0.976483727307692" "-0.988871878269231" "-0.979799284615385" "-0.91691771425" "-0.91691771425" "-0.972148483076923" "-0.913216518269231" "-0.975149773076923" "-0.922917902307692" "-0.953380646346154" "-0.949373705" "-0.975886145" "-0.975072995192308" "-0.978896555192308" "-0.939727873653846" "-0.9588764125" "-0.956230867692308" "-0.918763874230769" "-0.9648493625" "-0.9266513225" "-0.969972382115385"
"8.LAYING" "8" "LAYING" "-0.102245365611111" "-0.94304121537037" "0.589922434814815" "0.719831539259259" "-0.918873192333333" "0.0233299159137037" "-0.0169218791344444" "-0.973253042222222" "-0.0891374138592593" "0.13818830737037" "-0.965204017592593" "-0.0389735198722222" "-0.0694123150925926" "-0.969924077407407" "-0.91325033" "-0.91325033" "-0.962954517222222" "-0.932470764444444" "-0.969029111666667" "-0.951816663703704" "-0.944269514074074" "-0.940125298333333" "0.00539754357407408" "0.192435787087778" "0.124629569203704" "-0.975877437407407" "-0.962111136666667" "-0.975959911481481" "0.00667286421111111" "0.120248739635185" "-0.467391794648148" "-0.957411160185185" "-0.967461239074074" "-0.967846360740741" "-0.199880205519074" "0.213568382200185" "0.140446785851852" "-0.917257979425926" "-0.164138738975926" "-0.963791094259259" "-0.567137468944444" "-0.93678697" "-0.145797785259259" "-0.971793279814815" "-0.473237529259259" "-0.93489116" "-0.932491454407407" "-0.945418939814815" "-0.957990036481482" "-0.94183626337037" "-0.920075441666667" "-0.976520952037037" "-0.96608757462963" "-0.97585190462963" "-0.952039385740741" "-0.96758975462963" "-0.967480663148148" "-0.974186451851852" "-0.987601203703704" "-0.973609837222222" "-0.919475203824074" "-0.919475203824074" "-0.968292291111111" "-0.92896628462963" "-0.973939062222222" "-0.931236756962963" "-0.931146497518519" "-0.951487882222222" "-0.979170881666667" "-0.968699222962963" "-0.969273894259259" "-0.950316470925926" "-0.970671966481481" "-0.963017369444444" "-0.925429731259259" "-0.958237637037037" "-0.937835929444444" "-0.967863170925926"
"9.LAYING" "9" "LAYING" "-0.10754972144" "-0.94233309" "-0.1191541962" "0.9578730416" "-0.9218210626" "0.011561732718" "-0.0070536778584" "-0.9647404702" "-0.15890291983" "0.101275010682" "-0.9422465098" "-0.027552256948" "-0.0569490475" "-0.945329035" "-0.91512680016" "-0.91512680016" "-0.9550268052" "-0.8985578738" "-0.9528015598" "-0.9343665984" "-0.9459190006" "-0.9409810272" "-0.215336752654" "0.17810728092" "0.03590375336" "-0.9640828062" "-0.955909215" "-0.9686013042" "-0.227093669698" "-0.094374360132" "-0.43256303076" "-0.9345796594" "-0.9598150092" "-0.9463891504" "-0.321206958058" "-0.055125413678" "-0.21289581492" "-0.921929738394" "-0.17939220078" "-0.9550947122" "-0.31842098436" "-0.9034005814" "-0.176680079212" "-0.9522904702" "-0.22171181898" "-0.9162927764" "-0.9407072854" "-0.94676803" "-0.9699944882" "-0.9712046902" "-0.9239076792" "-0.9639966798" "-0.958562455" "-0.9669566892" "-0.9266185314" "-0.9615953704" "-0.9470797636" "-0.9621702422" "-0.9770761602" "-0.9514617038" "-0.923290547114" "-0.923290547114" "-0.960056587" "-0.8928114554" "-0.9582551896" "-0.9128367508" "-0.9419711636" "-0.9429711056" "-0.966634136" "-0.9597147176" "-0.9603965374" "-0.9231319366" "-0.965686312" "-0.9304446418" "-0.9215732614" "-0.9514344138" "-0.902421547" "-0.949150455"
"10.LAYING" "10" "LAYING" "-0.117168642362069" "-0.968283685" "-0.139297681034483" "-0.031121624137931" "-0.954531941896552" "0.015698997097069" "0.00716689586275862" "-0.978007466724138" "-0.0770325657265517" "0.104720478344828" "-0.961713199827586" "-0.0388797920413793" "-0.0590744912758621" "-0.965900578103448" "-0.940301654482759" "-0.940301654482759" "-0.967556980689655" "-0.927471165517241" "-0.959632931551724" "-0.954341849137931" "-0.964300845172414" "-0.96796803862069" "0.200554088396552" "0.317328874567241" "-0.287824792793103" "-0.968039173793103" "-0.972592212931034" "-0.978904364137931" "0.0425942300482759" "0.146112721943103" "-0.278906093508621" "-0.954670034482759" "-0.969755777241379" "-0.96454456637931" "0.0713125646482759" "0.157620505460345" "-0.37736648412931" "-0.944304974655172" "-0.39113748" "-0.965377553448276" "-0.431499640827586" "-0.933701315344828" "-0.425214986484483" "-0.960772875517241" "-0.325667379021931" "-0.946454302068966" "-0.95947148637931" "-0.971360300862069" "-0.966701156034483" "-0.963045642431035" "-0.955430987068966" "-0.966930793448276" "-0.976256662586207" "-0.979247219482759" "-0.953660207586207" "-0.971940597413793" "-0.966329291206897" "-0.966621040344828" "-0.983949302758621" "-0.970005908275862" "-0.944965189655172" "-0.944965189655172" "-0.972016680344828" "-0.924510234137931" "-0.964437568965517" "-0.946229148258621" "-0.959813667810345" "-0.967564717068966" "-0.968120692241379" "-0.978582339137931" "-0.974992943103448" "-0.953453496551724" "-0.975298797068965" "-0.956683402931034" "-0.948470481034483" "-0.963152197758621" "-0.930828794655172" "-0.957624963793103"
